Clave Materia,Nombre Materia Largo,Numero Grupo,Crn,Total Alum Inscritos
WKAB1003S,Mi selfi de hoy,100,14017,27
WKLI1012S,Conquista tus límites,100,39135,25
M1002S,Taller de certificación en ingeniería,101,34218,40
WKIT1002S,Semana 18 IIT-3,301,34458,29
RI1002S,Diversidad en un mundo globalizado,200,16684,12
H1001S,Inducción al servicio social,100,16677,26
H1001S,Inducción al servicio social,101,16679,24
H1001S,Inducción al servicio social,200,16681,22
H1001S,Inducción al servicio social,202,16683,25
H1001S,Inducción al servicio social,102,16680,24
H1001S,Inducción al servicio social,201,16682,24
IN2002S,Visualización estratégica de datos,101,34090,14
MR2001S,Competencia mecatrónica,101,33923,13
M1002S,Taller de certificación en ingeniería,101,34218,40
CF1001S,Excel como herramienta en la toma de decisiones,119,36342,30
CF1001S,Excel como herramienta en la toma de decisiones,120,36596,28
EM1001S,Emprende con propósito,106,13834,25
EM1001S,Emprende con propósito,206,13851,31
EM1001S,Emprende con propósito,207,13852,11
AD2001S,Finanzas estratégicas,118,36308,20
WKAB1003S,Mi selfi de hoy,100,14017,27
WKAB1005S,Tu reto de 7 días: tu bienestar,200,14018,28
WKAB1002S,Ponle play a tu bienestar,100,13905,28
WKLI1012S,Conquista tus límites,100,39135,25
WKLI1007S,Ikigai: Construye tus sueños,200,39134,19
WKES1002S,Semana 18 Estudios creativos-1 (Humanidades),300,16678,19
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,201,34219,18
WKIN1001S,Semana 18 Ingeniería-1,302,15666,20
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,202,34220,16
WKIN1001S,Semana 18 Ingeniería-1,300,22452,21
WKIN1001S,Semana 18 Ingeniería-1,301,15658,27
WKIN1002S,Semana 18 Ingeniería-2,300,15642,2
WKII2001S,SEMANA 18 ENFOQUE IIS-5,301,34094,19
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,301,33924,18
WKFZ2003S,Semana 18 Enfoque LAF-5,320,35847,16
WKFZ2001S,EVALUACIÓN ETAPA INTERMEDIA - LAF,220,35841,17
WKAD2007S,Semana 18 Enfoque LAE-5,317,35186,14
WKAD2001S,EVALUACIÓN ETAPA INTERMEDIA - LAE,217,35185,10
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,215,36580,28
WKNE1001S,Semana 18 Negocios-1,307,13555,26
WKNI2005S,Semana 18 Enfoque LIN-5,321,36105,9
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,214,36492,29
WKNI2001S,EVALUACIÓN ETAPA INTERMEDIA - LIN,221,36104,10
WKNE1004S,Semana 18 Negocios-3,315,36598,30
WKNE1001S,Semana 18 Negocios-1,306,13554,27
WKNE1004S,Semana 18 Negocios-3,314,36597,30
WKVP3003S,El arte de comunicar tu marca,1,38385,13
WKAR2004S,Semana 18 Enfoque ARQ-3,301,36741,20
WKD3001S,Evaluación Etapa Final - LED,212,24330,13
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKCT1001S,EVALUACIÓN ETAPA INICIAL - ICT,200,39425,28
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1002S,Semana 18 Ingeniería-2,300,39408,2
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKBQ1001S,EVALUACIÓN ETAPA INICIAL - IBQ,200,39417,19
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKIN1002S,Semana 18 Ingeniería-2,300,39408,2
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,200,39427,23
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,201,39428,24
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
M1002S,Taller de certificación en ingeniería,200,40372,5
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
SD1023S,Investigación en salud,100,31023,14
WKSD1004S,Semana 18 Salud -3,300,31042,21
WKSD1001S,Semana 18 Salud-1,300,15356,20
WKSD1001S,Semana 18 Salud-1,301,15357,12
WKSD1003S,EVALUACIÓN ETAPA INICIAL - SALUD,200,37009,20
AR2001S,Visualización de datos urbanos,201,40398,6
AR1001S,Representación significativa,101,36729,23
RI1002S,Diversidad en un mundo globalizado,111,31732,25
RI1002S,Diversidad en un mundo globalizado,210,31745,27
RI1002S,Diversidad en un mundo globalizado,113,31734,25
RI1002S,Diversidad en un mundo globalizado,112,31733,21
RI1002S,Diversidad en un mundo globalizado,110,31731,29
RI1002S,Diversidad en un mundo globalizado,115,31744,20
RI1002S,Diversidad en un mundo globalizado,114,31743,20
D1001S,Derecho y tecnología,220,40733,10
D1001S,Derecho y tecnología,106,28998,25
H1001S,Inducción al servicio social,100,15568,25
H1001S,Inducción al servicio social,101,15569,24
H1001S,Inducción al servicio social,105,15573,24
H1001S,Inducción al servicio social,203,15577,23
H1001S,Inducción al servicio social,204,15578,25
H1001S,Inducción al servicio social,201,15575,25
H1001S,Inducción al servicio social,103,15571,24
H1001S,Inducción al servicio social,107,26997,24
H1001S,Inducción al servicio social,205,26998,25
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,108,33507,18
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,205,15580,15
H1001S,Inducción al servicio social,200,15574,25
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,106,15579,20
H1001S,Inducción al servicio social,104,15572,24
BT2001S,Detectives de microbios: descubriendo el mundo microscópico,200,39429,13
F1001S,Taller de escritura científica,200,39431,21
IN2004S,Diseño y distribución de plantas inteligentes,200,40233,13
MR1001S,Simulación y modelación en ingeniería,200,40221,25
M1002S,Taller de certificación en ingeniería,200,40372,5
SD1023S,Investigación en salud,100,31023,14
CF1001S,Excel como herramienta en la toma de decisiones,102,33126,22
EM1001S,Emprende con propósito,202,14061,26
EM1001S,Emprende con propósito,205,20836,26
EM1001S,Emprende con propósito,101,14046,23
EM1001S,Emprende con propósito,204,20818,26
EM1001S,Emprende con propósito,103,14048,26
EM1001S,Emprende con propósito,203,14062,27
EM1001S,Emprende con propósito,100,14045,26
EM1001S,Emprende con propósito,201,14060,25
EM1001S,Emprende con propósito,104,20817,24
EM1001S,Emprende con propósito,102,14047,23
EM1001S,Emprende con propósito,200,14049,27
AD2001S,Finanzas estratégicas,100,33675,23
AD1002S,Bootcamp de liderazgo para mujeres,101,33120,18
RH1003S,Liderazgo positivo,105,39952,22
RH1003S,Liderazgo positivo,103,33127,30
RH1001S,Liderazgo multigeneracional,104,39375,24
WKAB1001S,Un viaje a mi interior,2,25499,24
WKLI1006S,El arte de emocionarte,2,23446,30
WKLI1006S,El arte de emocionarte,1,23428,29
WKVP3003S,El arte de comunicar tu marca,1,38385,13
WKAR2007S,Semana 18 Enfoque ARQ-5,301,40247,25
WKAR2004S,Semana 18 Enfoque ARQ-3,301,36741,20
WKAR2002S,EVALUACIÓN ETAPA INTERMEDIA - ARQ,201,36726,22
WKES1001S,Semana 18 Estudios creativos-1 (Arquitectura),301,28431,28
WKSO1001S,Semana 18 Ciencias Sociales-1,300,11156,27
WKD3001S,Evaluación Etapa Final - LED,212,24330,13
WKSO1003S,EVALUACIÓN ETAPA INICIAL - CIENCIAS SOCIALES,201,23918,27
WKD2002S,Semana 18 Enfoque LED-3,305,24153,26
WKD2001S,Semana 18 Enfoque LED-5,306,24202,16
WKD2005S,EVALUACIÓN ETAPA INTERMEDIA - LED,211,24315,16
WKES1002S,Semana 18 Estudios creativos-1 (Humanidades),301,30447,3
WKBQ1002S,Semana 18 IBQ-3,300,39410,18
WKBT2001S,Semana 18 Enfoque IBT-5,300,39418,13
WKCT1001S,EVALUACIÓN ETAPA INICIAL - ICT,200,39425,28
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,200,39427,23
WKIT1001S,EVALUACIÓN ETAPA INICIAL - IIT,201,39428,24
WKIN1002S,Semana 18 Ingeniería-2,300,39408,2
WKIN1001S,Semana 18 Ingeniería-1,100,19385,31
WKIN1001S,Semana 18 Ingeniería-1,101,19386,32
WKIN1001S,Semana 18 Ingeniería-1,102,19390,33
WKIN1001S,Semana 18 Ingeniería-1,103,19391,29
WKBQ1001S,EVALUACIÓN ETAPA INICIAL - IBQ,200,39417,19
WKCT1002S,Semana 18 ICT-3,300,39411,29
WKTC2001S,Semana 18 Enfoque ITC-5,300,39423,22
WKTC2002S,Semana 18 Enfoque ITC-4,300,40924,1
WKII2003S,EVALUACIÓN ETAPA INTERMEDIA - IIS,200,40082,2
WKII2001S,SEMANA 18 ENFOQUE IIS-5,300,39420,12
WKII2002S,Semana 18 Enfoque IIS-4,300,40154,1
WKMR2001S,SEMANA 18 ENFOQUE IMT-5,300,39422,22
WKIT1002S,Semana 18 IIT-3,300,39412,26
WKIT1002S,Semana 18 IIT-3,301,39413,25
WKM2001S,SEMANA 18 ENFOQUE IM-5,300,39421,5
WKM2002S,Semana 18 Enfoque IM-4,300,39893,2
WKM2003S,EVALUACIÓN ETAPA INTERMEDIA - IM,200,40487,1
WKSD1003S,EVALUACIÓN ETAPA INICIAL - SALUD,200,37009,20
WKSD1004S,Semana 18 Salud -3,300,31042,21
WKSD1001S,Semana 18 Salud-1,301,15357,12
WKFZ2001S,EVALUACIÓN ETAPA INTERMEDIA - LAF,201,33139,18
WKFZ2003S,Semana 18 Enfoque LAF-5,301,33144,19
WKAD2001S,EVALUACIÓN ETAPA INTERMEDIA - LAE,200,33138,11
WKAD2007S,Semana 18 Enfoque LAE-5,300,33143,8
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,203,38898,21
WKNE1004S,Semana 18 Negocios-3,301,33140,17
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,200,33128,20
WKNE1001S,Semana 18 Negocios-1,302,14818,23
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,202,33135,21
WKNE1004S,Semana 18 Negocios-3,303,33142,18
WKNI2005S,Semana 18 Enfoque LIN-5,302,33146,12
WKNI2001S,EVALUACIÓN ETAPA INTERMEDIA - LIN,202,33145,10
WKNE1001S,Semana 18 Negocios-1,300,14816,23
WKNE1003S,EVALUACIÓN ETAPA INICIAL - NEGOCIOS,201,33131,23
WKNE1004S,Semana 18 Negocios-3,302,33141,21
WKNE1001S,Semana 18 Negocios-1,301,14817,24
WKNE1004S,Semana 18 Negocios-3,300,33136,20
WKLI1010S,Transformar para trascender,101,5819,29
WKLI1010S,Transformar para trascender,102,5820,30
WKLI1010S,Transformar para trascender,101,5819,29
WKLI1010S,Transformar para trascender,102,5820,30
DL2004S,Experiencia disciplinar A,200,24691,20
WKAR2002S,EVALUACIÓN ETAPA INTERMEDIA - ARQ,260,22030,30
WKAR2002S,EVALUACIÓN ETAPA INTERMEDIA - ARQ,261,5475,26
WKAR2002S,EVALUACIÓN ETAPA INTERMEDIA - ARQ,262,5476,29
WKAR2004S,Semana 18 Enfoque ARQ-3,301,25011,22
WKAR2004S,Semana 18 Enfoque ARQ-3,302,25012,22
WKAR2004S,Semana 18 Enfoque ARQ-3,331,5477,21
WKAR2004S,Semana 18 Enfoque ARQ-3,332,5478,23
WKAR2007S,Semana 18 Enfoque ARQ-5,301,21689,28
WKAR2007S,Semana 18 Enfoque ARQ-5,302,21690,27
WKAR2007S,Semana 18 Enfoque ARQ-5,303,21691,27
WKAC1001S,Semana 18 Ambiente construido-1 (Arquitectura),312,41164,29
AT2001S,Modelado e impresión 3D de personajes,100,4567,31
AT2001S,Modelado e impresión 3D de personajes,100,4567,31
WKES1001S,Semana 18 Estudios creativos-1 (Arquitectura),301,5634,18
WKES1001S,Semana 18 Estudios creativos-1 (Arquitectura),302,5635,16
WKES1001S,Semana 18 Estudios creativos-1 (Arquitectura),303,5636,14
WKES1001S,Semana 18 Estudios creativos-1 (Arquitectura),304,9276,16
WKAT2002S,Semana 18 Enfoque LAD-3,330,22031,20
WKAT2002S,Semana 18 Enfoque LAD-3,331,5481,18
WKAT3001S,Semana 18 Especialización LAD-5,301,21692,16
WKAT3001S,Semana 18 Especialización LAD-5,302,21698,16
WKDL3001S,Semana 18 Enfoque LDI-3,331,5628,29
H1001S,Inducción al servicio social,216,4326,30
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,206,4391,16
WKSD1004S,Semana 18 Salud -3,306,35324,26
NU2001S,Campo de entrenamiento en nutrición,201,25664,18
NU2001S,Campo de entrenamiento en nutrición,201,25664,18
AR1001S,Representación significativa,101,4473,10
AR2003S,Descifrando la arquitectura,124,4540,22
DL2004S,Experiencia disciplinar A,200,24691,20
A1001S,Contenidos narrativos y experimentales,200,4338,26
AT2001S,Modelado e impresión 3D de personajes,100,4567,31
DL2001S,"Teoría, historia y crítica del diseño",101,11189,31
D1002S,Género y acceso a la justicia,101,27728,33
RI1002S,Diversidad en un mundo globalizado,204,6186,14
RI1002S,Diversidad en un mundo globalizado,103,6181,32
RI1002S,Diversidad en un mundo globalizado,203,6185,17
RI1002S,Diversidad en un mundo globalizado,105,27157,33
RI1002S,Diversidad en un mundo globalizado,211,30712,15
RI1002S,Diversidad en un mundo globalizado,114,30675,33
RI1002S,Diversidad en un mundo globalizado,111,30672,36
RI1002S,Diversidad en un mundo globalizado,113,30674,34
RI1002S,Diversidad en un mundo globalizado,206,30698,23
RI1002S,Diversidad en un mundo globalizado,213,30714,13
RI1002S,Diversidad en un mundo globalizado,100,30641,31
RI1002S,Diversidad en un mundo globalizado,108,30657,39
RI1002S,Diversidad en un mundo globalizado,200,30723,30
RI1002S,Diversidad en un mundo globalizado,109,30658,38
RI1002S,Diversidad en un mundo globalizado,209,30710,14
RI1002S,Diversidad en un mundo globalizado,106,30655,33
RI1002S,Diversidad en un mundo globalizado,208,30700,14
RI1002S,Diversidad en un mundo globalizado,205,30697,14
RI1002S,Diversidad en un mundo globalizado,102,6180,33
RI1002S,Diversidad en un mundo globalizado,202,6184,15
RI1002S,Diversidad en un mundo globalizado,107,30656,34
RI1002S,Diversidad en un mundo globalizado,207,30699,15
RI1002S,Diversidad en un mundo globalizado,110,30659,39
RI1002S,Diversidad en un mundo globalizado,210,30711,15
RI1002S,Diversidad en un mundo globalizado,112,30673,34
RI1002S,Diversidad en un mundo globalizado,212,30713,13
RI1002S,Diversidad en un mundo globalizado,104,6182,32
RI1002S,Diversidad en un mundo globalizado,101,6179,31
RI1002S,Diversidad en un mundo globalizado,201,6183,22
D1001S,Derecho y tecnología,201,27801,31
EC1001S,Fintech: del dinero físico al virtual,101,4986,15
EC2001S,Presupuesto público y bienestar social,101,5065,23
H1001S,Inducción al servicio social,118,4310,30
H1001S,Inducción al servicio social,101,4294,35
H1001S,Inducción al servicio social,201,4312,30
H1001S,Inducción al servicio social,113,4306,28
H1001S,Inducción al servicio social,203,4314,29
H1001S,Inducción al servicio social,112,4305,30
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,204,4389,33
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,105,4396,26
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,203,4400,28
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,101,4392,27
H1001S,Inducción al servicio social,105,4298,27
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,205,4390,17
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,101,4381,30
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,201,4387,28
H1001S,Inducción al servicio social,103,4296,29
H1001S,Inducción al servicio social,107,4300,27
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,103,4394,27
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,204,4401,28
H1001S,Inducción al servicio social,104,4297,29
H1001S,Inducción al servicio social,108,4301,27
H1001S,Inducción al servicio social,202,4313,32
H1001S,Inducción al servicio social,207,4318,30
H1001S,Inducción al servicio social,102,4295,32
H1001S,Inducción al servicio social,211,4321,27
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,104,4395,29
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,205,4402,14
H1001S,Inducción al servicio social,109,4302,27
H1001S,Inducción al servicio social,208,4319,26
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,104,4384,27
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,106,4397,27
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,202,4399,21
H1001S,Inducción al servicio social,206,4317,29
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,106,4386,28
H1001S,Inducción al servicio social,220,40109,29
H1001S,Inducción al servicio social,119,4311,27
H1001S,Inducción al servicio social,213,4323,28
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,102,4382,30
H1001S,Inducción al servicio social,216,4326,30
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,105,4385,28
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,206,4391,16
H1001S,Inducción al servicio social,117,4309,25
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,202,35316,27
H1001S,Inducción al servicio social,114,4307,28
H1001S,Inducción al servicio social,215,4325,26
H1001S,Inducción al servicio social,116,4308,28
H1001S,Inducción al servicio social,219,4329,28
H2002S,Construcción de comunidades inclusivas a través de la dignidad humana,103,4383,30
H1001S,Inducción al servicio social,110,4303,29
H1001S,Inducción al servicio social,212,4322,28
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,102,4393,30
H2003S,Emergencia climática: hacia una cultura de la sostenibilidad,201,4398,23
H1001S,Inducción al servicio social,106,4299,38
H1001S,Inducción al servicio social,217,4327,25
H1001S,Inducción al servicio social,111,4304,27
H1001S,Inducción al servicio social,115,19438,28
H1001S,Inducción al servicio social,205,4316,31
H1001S,Inducción al servicio social,214,4324,30
H1001S,Inducción al servicio social,121,40108,26
H1001S,Inducción al servicio social,204,4315,29
H1001S,Inducción al servicio social,218,4328,27
H1001S,Inducción al servicio social,120,40106,24
H1001S,Inducción al servicio social,209,4320,29
CO1001S,Portafolio creativo digital,101,4789,11
TM2002S,Certificación Pro Tools 110,151,35317,14
BT2001S,Detectives de microbios: descubriendo el mundo microscópico,100,35073,13
BT2001S,Detectives de microbios: descubriendo el mundo microscópico,200,35074,12
BT2001S,Detectives de microbios: descubriendo el mundo microscópico,201,4667,8
BT1001S,Biotecnología y alimentos: una antigua y riquísima combinación,100,4660,17
BT1001S,Biotecnología y alimentos: una antigua y riquísima combinación,101,4661,10
BT1001S,Biotecnología y alimentos: una antigua y riquísima combinación,201,4662,8
F1001S,Taller de escritura científica,101,4204,24
E2001S,Principios de arquitectura de software en software embebido,200,4979,14
TC1003S,Estadística y probabilidad con juegos de mesa,200,22788,30
TC2002S,Conectando el mundo web,114,6589,21
TC1001S,Herramientas computacionales: el arte de la programación,211,6494,9
TC1001S,Herramientas computacionales: el arte de la programación,111,20495,18
IN2001S,Toma de decisiones en entornos complejos,100,9867,20
IN2002S,Visualización estratégica de datos,200,9871,11
BI2001S,CAD para biomédicos,100,4640,13
E2002S,Desarrollo de un sistema de control de velocidad de un motor de corriente directa,100,16554,16
MR1001S,Simulación y modelación en ingeniería,100,4842,30
MR2001S,Competencia mecatrónica,201,16565,10
M1001S,Ingeniería en acción,100,4586,26
M1001S,Ingeniería en acción,200,4587,21
M1002S,Taller de certificación en ingeniería,102,18564,28
M1002S,Taller de certificación en ingeniería,201,4589,20
M1002S,Taller de certificación en ingeniería,101,4588,29
DS1002S,Vive el desarrollo sustentable,101,20319,18
DS2001S,Consultoría en sustentabilidad y sus tendencias,201,20312,8
DS1001S,La sustentabilidad en el ejercicio profesional de un ingeniero,101,4972,15
SD1023S,Investigación en salud,104,6489,23
SD1023S,Investigación en salud,102,6487,23
SD1023S,Investigación en salud,101,6486,23
SD1023S,Investigación en salud,103,6488,26
NU2001S,Campo de entrenamiento en nutrición,201,25664,18
CF1001S,Excel como herramienta en la toma de decisiones,101,4755,23
FZ2002S,Finanzas personales,102,41050,30
FZ2002S,Finanzas personales,101,38633,30
FZ1001S,Mercados financieros,201,32811,18
FZ2001S,Plataformas y aplicaciones financieras,101,4265,20
EM1001S,Emprende con propósito,105,3801,29
EM1001S,Emprende con propósito,103,3799,30
EM1001S,Emprende con propósito,202,27934,20
EM1001S,Emprende con propósito,101,3797,29
EM1001S,Emprende con propósito,205,28044,30
EM1005S,Liderazgo en emprendimiento,102,3812,30
EM1005S,Liderazgo en emprendimiento,202,3815,29
EM1001S,Emprende con propósito,106,3802,29
EM1001S,Emprende con propósito,201,3806,19
EM1001S,Emprende con propósito,102,3798,30
EM1005S,Liderazgo en emprendimiento,101,3811,26
EM1005S,Liderazgo en emprendimiento,201,3814,30
EM1003S,Diseño de experiencias para creación de valor,101,3809,23
EM1002S,Innovación frugal,101,28269,29
EM1002S,Innovación frugal,201,28270,19
EM1001S,Emprende con propósito,104,3800,30
AD1002S,Bootcamp de liderazgo para mujeres,101,29592,32
AD1002S,Bootcamp de liderazgo para mujeres,201,29593,32
AD1001S,Diseño de negocios conscientes,103,29585,29
AD2001S,Finanzas estratégicas,101,30475,32
AD1003S,Liderazgo en la familia empresaria,101,4441,32
AD1003S,Liderazgo en la familia empresaria,201,4442,32
RH1002S,Liderazgo incluyente,101,29731,32
RH1002S,Liderazgo incluyente,201,6114,30
RH1001S,Liderazgo multigeneracional,102,6110,32
RH1001S,Liderazgo multigeneracional,103,6111,31
RH1001S,Liderazgo multigeneracional,101,6109,31
RH1001S,Liderazgo multigeneracional,201,6112,32
RH1002S,Liderazgo incluyente,102,6113,32
WKBE3002S,Evaluación Etapa Final - LBC,101,40002,2
WKAB1003S,Mi selfi de hoy,108,5341,24
WKAB1003S,Mi selfi de hoy,204,5345,31
WKAB1003S,Mi selfi de hoy,104,5337,28
WKAB1003S,Mi selfi de hoy,205,5346,30
WKAB1003S,Mi selfi de hoy,103,5336,27
WKAB1003S,Mi selfi de hoy,201,5342,30
WKAB1005S,Tu reto de 7 días: tu bienestar,106,5457,27
WKAB1003S,Mi selfi de hoy,206,5347,30
WKAB1003S,Mi selfi de hoy,102,5335,27
WKAB1005S,Tu reto de 7 días: tu bienestar,206,5466,28
WKAB1005S,Tu reto de 7 días: tu bienestar,105,5456,30
WKAB1005S,Tu reto de 7 días: tu bienestar,203,5463,28
WKAB1005S,Tu reto de 7 días: tu bienestar,201,5461,30
WKAB1003S,Mi selfi de hoy,101,5334,28
WKAB1003S,Mi selfi de hoy,105,5338,28
WKAB1003S,Mi selfi de hoy,207,10929,30
WKAB1003S,Mi selfi de hoy,107,5340,28
WKAB1003S,Mi selfi de hoy,202,5343,28
WKAB1003S,Mi selfi de hoy,106,5339,27
WKAB1005S,Tu reto de 7 días: tu bienestar,107,5458,29
WKAB1003S,Mi selfi de hoy,203,5344,30
WKAB1005S,Tu reto de 7 días: tu bienestar,103,5454,30
WKAB1005S,Tu reto de 7 días: tu bienestar,205,5465,30
WKAB1005S,Tu reto de 7 días: tu bienestar,207,5467,30
WKAB1005S,Tu reto de 7 días: tu bienestar,104,5455,28
WKAB1005S,Tu reto de 7 días: tu bienestar,102,5349,28
WKAB1005S,Tu reto de 7 días: tu bienestar,202,5462,31
WKAB1005S,Tu reto de 7 días: tu bienestar,101,5348,29
WKAB1005S,Tu reto de 7 días: tu bienestar,204,5464,30
WKLI1006S,El arte de emocionarte,102,5749,34
WKLI1006S,El arte de emocionarte,202,5752,23
WKLI1006S,El arte de emocionarte,101,5748,32
WKLI1002S,Teatro con sentido,102,5741,33
WKLI1006S,El arte de emocionarte,201,5751,24
WKLI1002S,Teatro con sentido,101,5740,32
WKLI1002S,Teatro con sentido,201,5742,24
WKAB1002S,Ponle play a tu bienestar,107,5327,23
WKAB1002S,Ponle play a tu bienestar,205,5332,29
WKAB1002S,Ponle play a tu bienestar,201,5328,30
WKLI1011S,Desafío deportivo,101,5821,20
