Producto, Unidades ,Factura
46817,1,769476
34742,1,641843
16938,1,323202
34369,1,16867
33835,1,635605
24338,1,695982
46894,1,685289
2556,1,336023
24467,1,724668
34425,1,361632
34581,1,467033
47237,1,808336
17841,1,28550
20673,1,710313
35210,1,183087
34483,1,336864
34069,1,178006
17115,1,243230
17387,1,788080
39546,1,710749
47948,1,718871
2405,1,608091
35297,1,733656
34465,1,335928
34568,1,697584
29494,1,623369
24334,1,726306
23534,1,671384
199,1,763538
43622,1,813742
39824,1,654802
40380,2,324107
17431,1,660869
46848,1,125507
40391,1,540036
46817,1,327506
24148,1,245290
40884,1,326687
48397,1,829447
19907,1,773767
47297,1,337222
19907,1,613825
42523,1,609802
20315,1,749238
35972,1,682782
17092,1,299505
40599,1,719277
47212,1,139448
19907,1,671574
28510,1,363860
20196,1,740792
40758,1,693976
35191,1,733175
29863,1,720411
36045,1,513626
33835,1,715022
40600,1,650257
47810,2,791382
34028,1,771019
17439,1,753212
34090,1,318461
17128,1,817487
45154,1,328529
17435,1,735478
43781,1,521794
47052,1,725223
17439,1,323012
24371,1,737951
39531,1,719038
37526,1,765077
44220,1,542140
30052,1,468286
19493,4,467600
23855,1,821736
34280,1,772096
37527,1,712047
48022,1,493385
34266,1,723983
35098,1,778879
37584,1,582494
24371,1,328152
39599,1,926739
3325,1,704463
39597,1,318250
34115,1,494737
17388,1,623607
20282,1,540697
41647,1,588111
17387,1,724753
34392,1,702602
19723,1,392457
48396,1,735138
23292,1,713692
20232,1,679362
2534,1,468169
45151,1,539697
30052,2,923479
34355,1,807149
44251,1,764386
37436,1,619278
35032,1,623612
34327,1,724326
2644,1,370860
42202,1,728443
37974,1,671400
23534,1,679236
24335,1,513732
34324,1,734694
17207,1,763023
47259,1,466108
2892,1,326393
34420,1,495398
34552,1,468025
40138,1,540300
48617,1,323911
33132,1,676124
48300,1,258982
17207,1,926058
34568,1,711737
48160,1,541385
38006,1,661428
24333,1,468245
37527,1,813920
23313,1,772257
46914,1,603575
